ItemPII	GreenOA EmbargoDate	ItemOnline	ItemVorOnline	EmbargoPeriod
S0109-5641(12)00368-5	2013-11-08	2012-08-10		12
S0140-1963(11)00059-0	2013-06-06	2011-03-09		24
S0140-1963(11)00112-1	2013-08-09	2011-05-12		24
S0140-1963(12)00071-7	2014-06-19	2012-03-21		24
S0140-1963(13)00151-1	2016-01-07	2013-10-09		24
S0140-1963(15)30066-5	2017-10-16	2015-10-17	2015-10-17	24
S0140-1971(15)00249-3	2018-11-13	2015-11-14	2015-11-14	36
S0140-3664(09)00264-3	2012-01-25	2009-10-27		24
S0140-3664(14)00305-3	2016-12-06	2014-09-08		24
S0140-3664(16)30039-1	2018-04-07	2016-02-26	2016-04-07	24
S0140-6736(10)60591-0	2011-03-17	2010-06-18		6
S0140-6736(10)61269-X	2011-07-27	2010-10-28		6
S0140-6736(10)61301-3	2011-07-27	2010-10-28		6
S0140-6736(10)61992-7	2011-07-27	2010-10-28		6
S0140-6736(11)60886-6	2012-03-26	2011-06-28		6
S0140-6736(11)60895-7	2012-03-25	2011-06-27		6
S0140-6736(12)60110-X	2012-12-10	2012-03-13		6
S0140-6736(14)61682-2	2015-09-16	2014-12-18		6
S0140-6736(14)61839-0	2015-07-14	2014-10-15		6
S0140-6736(15)00128-2	2016-06-03	2015-09-11	2015-12-04	6
S0140-6736(15)00349-9	2016-04-15	2015-10-05	2015-10-16	6
S0140-6736(15)00951-4	2016-06-17	2015-12-18	2015-12-18	6
S0140-6736(15)60692-4	2016-02-22	2015-06-07	2015-08-24	6
S0140-6736(15)61117-5	2016-02-25	2015-08-03	2015-08-27	6
S0140-6736(15)61340-X	2016-05-27	2015-08-28	2015-11-27	6
S0140-6736(16)00686-3	2016-10-06	2016-04-07	2016-04-07	6
S0140-6736(16)30137-4	2017-01-02	2016-04-05		6
S0140-7007(13)00197-7	2015-11-04	2013-08-06		24
S0140-7007(16)00045-1	2018-04-26	2016-02-18	2016-04-26	24
S0140-9883(11)00120-4	2015-08-31	2011-06-03		48
S0140-9883(12)00163-6	2016-11-01	2012-08-04		48
S0140-9883(15)00047-X	2019-05-27	2015-02-27		48
S0141-0229(13)00034-3	2014-06-26	2013-03-28		12
S0141-0229(15)30039-9	2016-08-20	2015-08-11	2015-08-21	12
S0141-0296(09)00400-3	2012-05-13	2010-02-13		24
S0141-0296(10)00268-3	2012-11-08	2010-08-11		24
S0141-0296(10)00394-9	2013-03-14	2010-12-15		24
S0141-0296(10)00468-2	2013-03-15	2010-12-16		24
S0141-0296(11)00293-8	2013-11-14	2011-08-17		24
S0141-0296(11)00391-9	2014-02-01	2011-11-04		24
S0141-0296(11)00447-0	2014-04-06	2012-01-07		24
S0141-0296(11)00524-4	2014-05-02	2012-02-02		24
S0141-0296(12)00200-3	2014-08-28	2012-05-30		24
S0141-0296(13)00010-2	2015-05-14	2013-02-13		24
S0141-0296(13)00162-4	2015-08-07	2013-05-09		24
S0141-0296(14)00018-2	2016-05-02	2014-02-02		24
S0141-0296(15)00592-1	2017-10-02	2015-10-03	2015-10-03	24
S0141-1136(12)00213-9	2015-02-20	2012-11-22		24
S0141-1136(15)30038-6	2017-11-10	2015-09-04	2015-11-11	24
S0141-6359(09)00081-6	2011-09-09	2009-06-11		24
S0141-6359(09)00130-5	2011-11-27	2009-08-29		24
S0141-6359(10)00141-8	2013-01-03	2010-10-06		24
S0141-6359(10)00142-X	2013-01-03	2010-10-06		24
S0141-6359(11)00039-0	2013-06-01	2011-03-04		24
S0141-6359(11)00096-1	2013-09-25	2011-06-28		24
S0141-6359(12)00010-4	2014-05-10	2012-02-10		24
S0141-6359(12)00011-6	2014-04-30	2012-01-31		24
S0141-6359(12)00086-4	2014-07-22	2012-04-23		24
S0141-6359(12)00098-0	2014-10-05	2012-07-07		24
S0141-6359(13)00102-5	2015-10-10	2013-07-12		24
S0141-6359(13)00103-7	2015-10-20	2013-07-22		24
S0141-8130(14)00030-0	2015-04-17	2014-01-17		12
S0141-8130(15)00273-1	2016-05-13	2015-04-28	2015-05-14	12
S0141-9331(11)00026-3	2013-05-17	2011-02-17		24
S0142-0615(13)00038-0	2015-05-30	2013-03-01		24
S0142-0615(13)00207-X	2015-08-23	2013-05-25		24
S0142-0615(14)00413-X	2016-10-20	2014-07-23		24
S0142-0615(15)00089-7	2017-06-23	2015-03-26		24
S0142-0615(15)00190-8	2017-05-13	2015-05-14	2015-05-14	24
S0142-0615(15)00249-5	2017-06-01	2015-06-02	2015-06-02	24
S0142-0615(16)00077-6	2018-02-16	2016-02-17	2016-02-17	24
S0142-1123(12)00125-9	2014-06-27	2012-03-29		24
S0142-1123(12)00272-1	2014-12-25	2012-09-26		24
S0142-1123(13)00271-5	2015-12-26	2013-09-27		24
S0142-1123(14)00040-1	2016-05-06	2014-02-06		24
S0142-1123(14)00313-2	2017-03-14	2014-12-15		24
S0142-694X(11)00067-6	2013-12-13	2011-09-15		24
S0142-727X(10)00061-5	2012-06-16	2010-03-19		24
S0142-727X(11)00017-8	2013-05-25	2011-02-25		24
S0142-727X(11)00025-7	2013-06-09	2011-03-12		24
S0142-727X(11)00162-7	2014-04-09	2012-01-10		24
S0142-9418(15)00149-X	2017-07-15	2015-07-02	2015-07-16	24
S0142-9418(15)30146-X	2017-12-20	2015-12-17	2015-12-21	24
S0142-9612(09)01442-2	2012-04-14	2010-01-15		24
S0142-9612(10)00145-6	2012-05-13	2010-02-13		24
S0142-9612(10)00773-8	2012-10-13	2010-07-16		24
S0142-9612(11)00226-2	2013-06-21	2011-03-24		24
S0142-9612(11)01284-1	2014-02-07	2011-11-10		24
S0142-9612(11)01309-3	2014-03-16	2011-12-17		24
S0142-9612(12)00699-0	2014-10-10	2012-07-12		24
S0142-9612(12)01054-X	2015-01-10	2012-10-12		24
S0142-9612(12)01407-X	2015-04-19	2013-01-19		24
S0142-9612(13)00048-3	2015-05-02	2013-02-01		24
S0142-9612(13)00969-1	2015-12-02	2013-09-03		24
S0142-9612(14)00009-X	2016-04-23	2014-01-24		24
S0142-9612(14)00685-1	2016-09-18	2014-06-21		24
S0142-9612(14)00805-9	2016-10-26	2014-07-29		24
S0142-9612(15)00039-3	2017-05-11	2015-02-11		24
S0142-9612(15)00117-9	2017-05-24	2015-02-24		24
S0142-9612(15)00656-0	2017-08-21	2015-08-05	2015-08-22	24
S0142-9612(15)00961-8	2017-12-16	2015-12-02	2015-12-17	24
S0143-4004(10)00355-3	2012-01-13	2010-10-15		12
S0143-4160(10)00203-4	2012-04-11	2011-01-12		12
S0143-4160(14)00108-0	2015-10-16	2014-07-18		12
S0143-4160(14)00116-X	2015-11-02	2014-08-04		12
S0143-4179(15)00058-X	2016-08-10	2015-06-11	2015-08-11	12
S0143-6228(09)00067-8	2013-02-15	2009-11-18		36
S0143-6228(10)00025-1	2013-06-29	2010-04-01		36
S0143-6228(11)00047-6	2014-07-04	2011-04-06		36
S0143-6228(11)00092-0	2014-10-13	2011-07-16		36
S0143-6228(11)00123-8	2014-10-19	2011-07-22		36
S0143-6228(11)00181-0	2015-02-09	2011-11-12		36
S0143-6228(11)00238-4	2015-03-28	2011-12-29		36
S0143-6228(12)00034-3	2015-09-13	2012-06-15		36
S0143-6228(12)00092-6	2016-01-01	2012-10-03		36
S0143-6228(12)00165-8	2016-04-02	2013-01-03		36
S0143-6228(13)00219-1	2017-01-20	2013-10-23		36
S0143-6228(13)00270-1	2017-03-02	2013-12-03		36
S0143-6228(13)00280-4	2017-03-26	2013-12-27		36
S0143-6228(14)00027-7	2017-06-01	2014-03-04		36
S0143-6228(14)00031-9	2017-06-25	2014-03-28		36
S0143-6228(14)00081-2	2017-08-30	2014-06-02		36
S0143-6228(14)00106-4	2017-09-16	2014-06-19		36
S0143-6228(14)00140-4	2017-10-29	2014-08-01		36
S0143-6228(14)00172-6	2017-11-21	2014-08-24		36
S0143-6228(14)00181-7	2017-12-04	2014-09-06		36
S0143-6228(15)00009-0	2018-05-10	2015-02-10		36
S0143-6228(15)00026-0	2018-06-16	2015-03-02	2015-06-17	36
S0143-6228(15)00045-4	2018-06-15	2015-03-18		36
S0143-6228(15)00101-0	2018-05-17	2015-05-18	2015-05-18	36
S0143-974X(10)00282-8	2013-04-21	2011-01-22		24
S0144-8609(12)00088-X	2015-02-21	2012-11-23		24
S0144-8617(12)01217-9	2014-03-28	2012-12-28		12
S0144-8617(15)00324-0	2016-05-20	2015-04-21	2015-05-21	12
S0145-2126(10)00256-0	2011-09-07	2010-06-09		12
S0145-2126(10)00464-9	2012-01-20	2010-10-22		12
S0145-2126(11)00375-4	2012-11-14	2011-08-17		12
S0145-2126(12)00039-2	2013-05-16	2012-02-16		12
S0145-2126(12)00291-3	2013-11-11	2012-08-13		12
S0145-2126(13)00381-0	2015-02-03	2013-11-05		12
S0145-2126(14)00385-3	2016-03-09	2014-12-10		12
S0145-2126(15)00187-3	2016-08-17	2015-07-02	2015-08-18	12
S0145-2126(15)30342-8	2016-09-12	2015-07-14	2015-09-13	12
S0145-2126(16)30061-3	2017-04-29	2016-04-20	2016-04-29	12
S0145-2134(11)00029-9	2014-06-01	2011-03-04		36
S0145-2134(13)00118-X	2016-08-31	2013-06-03		36
S0145-2134(15)00227-6	2018-09-06	2015-07-20	2015-09-07	36
S0145-2134(16)30022-9	2019-06-19	2016-03-21		36
S0146-0005(11)00153-4	2013-04-23	2012-01-24		12
S0146-0005(13)00109-2	2015-04-24	2014-01-24		12
S0146-6380(13)00193-9	2015-12-06	2013-09-07		24
S0146-6380(15)00134-5	2017-08-30	2015-07-18	2015-08-31	24
S0147-1767(13)00078-3	2017-10-20	2013-07-23		48
S0147-5967(11)00070-9	2015-03-08	2011-12-09		36
S0147-6513(11)00301-0	2014-01-10	2011-10-13		24
S0147-6513(11)00313-7	2014-02-02	2011-11-05		24
S0147-6513(11)00370-8	2014-02-18	2011-11-21		24
S0147-6513(12)00125-X	2014-08-12	2012-05-14		24
S0147-6513(13)00469-7	2016-02-12	2013-11-14		24
S0147-6513(16)30078-1	2018-04-06	2016-04-06	2016-04-06	24
S0148-2963(09)00150-7	2012-09-18	2009-06-21		36
S0148-2963(09)00248-3	2013-01-25	2009-10-28		36
S0148-2963(11)00075-0	2014-06-23	2011-03-26		36
S0148-2963(11)00356-0	2015-02-24	2011-11-27		36
S0148-2963(12)00137-3	2015-08-21	2012-05-23		36
S0148-2963(15)00700-6	2019-04-19	2016-01-20		36
S0148-2963(16)30061-3	2019-07-13	2016-04-14		36
S0148-2963(16)30061-3	2019-07-13	2016-04-14		36
S0148-6195(14)00016-2	2017-06-09	2014-03-12		36
S0149-1970(16)30038-5	2018-02-26	2016-02-27	2016-02-27	24
S0149-2918(10)00160-8	2011-09-01	2010-06-03		12
S0149-2918(10)00369-3	2012-02-27	2010-11-29		12
S0149-2918(11)00673-4	2013-02-01	2011-11-04		12
S0149-2918(11)00690-4	2013-02-07	2011-11-10		12
S0149-2918(12)00724-2	2014-04-15	2013-01-15		12
S0149-2918(13)00072-6	2014-06-12	2013-03-14		12
S0149-2918(14)00870-4	2016-04-15	2015-01-16		12
S0149-2918(14)00870-4	2016-04-15	2015-01-16		12
S0149-2918(15)00012-0	2016-05-04	2015-02-04		12
S0149-2918(15)00013-2	2016-05-26	2015-02-26		12
S0149-2918(15)00141-1	2016-06-15	2015-04-16	2015-06-16	12
S0149-2918(15)00165-4	2016-07-21	2015-04-23	2015-07-22	12
S0149-2918(15)00254-4	2016-07-21	2015-05-19	2015-07-22	12
S0149-2918(15)00969-8	2016-12-16	2015-08-20	2015-12-17	12
S0149-2918(15)01093-0	2016-10-22	2015-09-26	2015-10-23	12
S0149-2918(15)01236-9	2016-12-16	2015-12-03	2015-12-17	12
S0149-2918(16)30129-1	2017-06-23	2016-03-25		12
S0149-7189(09)00072-X	2012-10-31	2009-08-03		36
S0149-7189(09)00077-9	2012-10-31	2009-08-03		36
S0149-7189(10)00098-4	2014-03-29	2010-12-30		36
S0149-7634(12)00041-3	2013-11-30	2012-03-03		18
S0149-7634(15)00033-0	2016-11-01	2015-02-03		18
S0149-7634(15)00050-0	2016-11-17	2015-02-19		18
S0149-7634(15)00105-0	2017-06-09	2015-06-11	2015-12-10	18
S0150-9861(10)00190-2	2012-05-26	2011-02-26		12
S0160-2896(13)00049-4	2015-09-03	2013-06-05		24
S0160-2896(16)00002-7	2018-01-17	2016-01-18	2016-01-18	24
S0160-4120(09)00059-2	2011-06-16	2009-03-18		24
S0160-4120(14)00139-1	2016-08-17	2014-05-20		24
S0160-4120(15)00088-4	2017-05-24	2015-05-25	2015-05-25	24
S0160-4120(15)00103-8	2017-05-21	2015-05-22	2015-05-22	24
S0160-4120(16)30008-3	2018-01-26	2016-01-27	2016-01-27	24
S0160-4120(16)30143-X	2018-04-28	2016-04-28	2016-04-28	24
S0160-7383(12)00034-5	2015-07-25	2012-04-26		36
S0160-7383(13)00011-X	2016-05-29	2013-03-01		36
S0160-7383(13)00102-3	2016-12-03	2013-09-05		36
S0160-7383(13)00160-6	2017-04-03	2014-01-04		36
S0160-7383(14)00034-6	2017-07-14	2014-04-16		36
S0161-4754(09)00320-0	2011-05-16	2010-02-15		12
S0161-5890(13)00541-5	2015-02-18	2013-11-20		12
S0161-6420(10)00327-1	2011-09-27	2010-06-29		12
S0161-6420(10)00979-6	2012-05-04	2011-02-04		12
S0161-6420(11)00945-6	2013-02-26	2011-11-29		12
S0161-6420(12)00541-6	2013-10-25	2012-07-27		12
S0161-6420(16)00339-0	2017-07-18	2016-04-19		12
S0161-813X(09)00279-4	2011-03-29	2009-12-29		12
S0161-813X(10)00074-4	2011-07-30	2010-05-01		12
S0161-813X(12)00204-5	2013-11-30	2012-09-01		12
S0161-813X(12)00224-0	2014-01-01	2012-10-03		12
S0161-813X(13)00003-X	2014-04-11	2013-01-11		12
S0161-813X(13)00081-8	2014-08-18	2013-05-20		12
S0161-813X(14)00182-X	2016-02-10	2014-11-12		12
S0161-813X(15)00139-4	2016-10-02	2015-09-26	2015-10-03	12
S0161-813X(16)30046-8	2017-04-09	2016-04-04	2016-04-09	12
S0161-8938(10)00048-7	2013-09-08	2010-06-11		36
S0162-0134(10)00004-8	2012-04-06	2010-01-07		24
S0162-0134(13)00069-X	2015-06-27	2013-03-29		24
S0163-4453(10)00239-2	2011-11-19	2010-08-21		12
S0163-6383(09)00106-4	2012-03-27	2009-12-28		24
S0163-6383(13)00118-5	2016-05-16	2014-02-16		24
S0163-7258(09)00172-7	2010-11-29	2009-08-31		12
S0163-7258(13)00046-6	2014-05-29	2013-02-28		12
S0163-7258(15)00121-7	2016-08-01	2015-06-11	2015-08-02	12
S0163-7258(15)00165-5	2016-10-19	2015-08-20	2015-10-20	12
S0163-7827(09)00043-5	2010-11-27	2009-08-29		12
S0163-8343(09)00181-9	2011-01-11	2009-10-13		12
S0165-0270(10)00005-1	2011-10-10	2010-01-11		18
S0165-0270(10)00077-4	2011-11-09	2010-02-10		18
S0165-0270(10)00125-1	2011-12-16	2010-03-19		18
S0165-0270(10)00161-5	2011-12-30	2010-04-02		18
S0165-0270(10)00440-1	2012-05-04	2010-08-06		18
S0165-0270(10)00566-2	2012-07-13	2010-10-15		18
S0165-0270(11)00159-2	2012-12-31	2011-04-04		18
S0165-0270(11)00568-1	2013-06-29	2011-10-01		18
S0165-0270(12)00106-9	2013-12-27	2012-03-30		18
S0165-0270(12)00193-8	2014-03-07	2012-06-08		18
S0165-0270(13)00128-3	2014-12-30	2013-04-02		18
S0165-0270(13)00190-8	2015-02-20	2013-05-24		18
S0165-0270(14)00055-7	2015-11-10	2014-02-11		18
S0165-0270(14)00270-2	2016-05-07	2014-08-09		18
S0165-0270(14)00296-9	2016-05-18	2014-08-20		18
S0165-0270(14)00343-4	2016-06-24	2014-09-26		18
S0165-0270(14)00370-7	2016-07-20	2014-10-22		18
S0165-0270(14)00386-0	2016-07-30	2014-11-01		18
S0165-0270(15)00010-2	2016-10-13	2015-01-15		18
S0165-0270(15)00117-X	2016-12-24	2015-03-28		18
S0165-0270(15)00154-5	2017-08-02	2015-04-21	2016-02-02	18
S0165-0327(09)00263-8	2010-10-01	2009-07-03		12
S0165-0327(10)00417-9	2011-10-03	2010-07-05		12
S0165-0327(11)00053-X	2012-05-24	2011-02-24		12
S0165-0327(12)00694-5	2014-02-20	2012-11-22		12
S0165-0327(14)00131-1	2015-06-25	2014-03-27		12
S0165-0327(15)31301-X	2017-03-19	2016-03-08	2016-03-19	12
S0165-0378(11)00330-5	2013-04-10	2012-01-11		12
S0165-1684(10)00117-9	2012-06-15	2010-03-18		24
S0165-1684(10)00238-0	2012-09-05	2010-06-08		24
S0165-1684(10)00270-7	2012-09-28	2010-07-01		24
S0165-1684(12)00002-3	2014-04-11	2012-01-12		24
S0165-1684(12)00117-X	2014-07-23	2012-04-24		24
S0165-1684(13)00066-2	2015-05-27	2013-02-26		24
S0165-1684(13)00149-7	2015-07-17	2013-04-18		24
S0165-1684(13)00313-7	2015-11-20	2013-08-22		24
S0165-1684(15)00113-9	2017-06-15	2015-03-20	2015-06-16	24
S0165-1684(15)00368-0	2018-03-10	2015-11-09	2016-03-10	24
S0165-1765(10)00074-1	2013-05-31	2010-03-03		36
S0165-1765(11)00206-0	2014-08-28	2011-05-31		36
S0165-1765(12)00159-0	2015-07-20	2012-04-21		36
S0165-1765(12)00347-3	2015-09-13	2012-06-15		36
S0165-1765(14)00232-8	2017-09-23	2014-06-26		36
S0165-1765(15)00166-4	2018-05-14	2015-04-22	2015-05-15	36
S0165-1781(09)00175-9	2011-08-21	2010-05-23		12
S0165-1781(09)00394-1	2011-08-21	2010-05-23		12
S0165-1781(10)00253-2	2011-09-16	2010-06-18		12
S0165-1781(11)00049-7	2012-05-18	2011-02-18		12
S0165-1781(11)00695-0	2013-05-25	2012-02-25		12
S0165-1781(12)00308-3	2013-10-09	2012-07-11		12
S0165-1781(12)00516-1	2013-12-28	2012-09-29		12
S0165-1781(12)00566-5	2014-01-28	2012-10-30		12
S0165-1781(13)00171-6	2014-07-24	2013-04-25		12
S0165-1781(14)00458-2	2015-08-30	2014-06-01		12
S0165-1781(14)00696-9	2015-11-10	2014-08-12		12
S0165-1781(14)00696-9	2015-11-10	2014-08-12		12
S0165-1781(14)00963-9	2016-03-09	2014-12-10		12
S0165-1781(15)00178-X	2016-08-18	2015-04-06	2015-08-19	12
S0165-1781(15)00286-3	2016-08-06	2015-05-27	2015-08-07	12
S0165-1781(16)30045-2	2017-02-23	2016-01-21	2016-02-24	12
S0165-1889(12)00162-5	2015-10-19	2012-07-21		36
S0165-1889(13)00068-7	2016-07-04	2013-04-06		36
S0165-1889(15)00156-6	2018-09-07	2015-08-28	2015-09-08	36
S0165-2370(14)00067-9	2016-07-22	2014-04-24		24
S0165-2370(15)30100-5	2018-03-09	2016-01-07	2016-03-09	24
S0165-2427(09)00241-4	2010-10-28	2009-07-30		12
S0165-2427(09)00257-8	2010-11-11	2009-08-13		12
S0165-2427(10)00278-3	2011-11-04	2010-08-06		12
S0165-2427(11)00216-9	2012-09-09	2011-06-12		12
S0165-2427(11)00299-6	2012-11-14	2011-08-17		12
S0165-2427(12)00072-4	2013-05-30	2012-03-01		12
S0165-2427(14)00223-2	2016-01-03	2014-10-05		12
S0165-2427(15)30022-2	2016-12-16	2015-11-23	2015-12-17	12
S0165-2427(15)30030-1	2017-01-20	2015-12-23	2016-01-21	12
S0165-2478(14)00121-7	2015-09-22	2014-06-24		12
S0165-4101(14)00047-0	2017-11-25	2014-08-28		36
S0165-5728(10)00128-1	2011-07-21	2010-04-22		12
S0165-5728(10)00468-6	2012-03-03	2010-12-04		12
S0165-5728(12)00044-6	2013-06-14	2012-03-16		12
S0165-5728(12)00309-8	2014-01-25	2012-10-27		12
S0165-5728(13)00184-7	2014-11-13	2013-08-15		12
S0165-5728(13)00247-6	2014-12-26	2013-09-27		12
S0165-5728(15)00077-6	2016-06-30	2015-04-02		12
S0165-5728(15)00170-8	2016-07-24	2015-07-04	2015-07-25	12
S0165-5876(10)00211-9	2011-08-24	2010-05-26		12
S0165-5876(11)00349-1	2012-11-14	2011-08-17		12
S0165-5876(11)00561-1	2013-03-21	2011-12-22		12
S0165-5876(12)00045-6	2013-05-10	2012-02-10		12
S0165-5876(12)00167-X	2013-06-25	2012-03-27		12
S0165-5876(12)00192-9	2013-07-10	2012-04-11		12
S0165-5876(12)00599-X	2014-02-27	2012-11-29		12
S0165-5876(13)00544-2	2015-02-22	2013-11-24		12
S0165-5876(13)00676-9	2015-04-03	2014-01-03		12
S0165-5876(14)00605-3	2016-02-16	2014-11-18		12
S0165-5876(15)00407-3	2016-09-30	2015-08-22	2015-10-01	12
S0165-6147(10)00032-5	2011-07-01	2010-04-02		12
S0165-6147(15)00092-9	2016-08-05	2015-06-08	2015-08-06	12
S0165-7836(09)00247-1	2011-12-17	2009-09-18		24
S0165-7836(10)00066-4	2012-06-04	2010-03-07		24
S0165-7836(10)00069-X	2012-06-12	2010-03-15		24
S0165-7836(10)00136-0	2012-09-22	2010-06-25		24
S0165-7836(10)00251-1	2013-01-13	2010-10-16		24
S0165-7836(11)00011-7	2013-04-18	2011-01-19		24
S0165-7836(11)00088-9	2013-05-31	2011-03-03		24
S0165-7836(12)00044-6	2014-05-02	2012-02-02		24
S0165-7836(12)00304-9	2015-02-21	2012-11-23		24
S0165-7836(13)00248-8	2016-03-01	2013-12-02		24
S0165-7836(14)00008-3	2016-05-19	2014-02-19		24
S0165-7836(14)00038-1	2016-06-11	2014-03-14		24
S0165-7836(14)00140-4	2016-08-02	2014-05-05		24
S0165-7836(14)00282-3	2017-01-21	2014-10-24		24
S0165-7836(14)00311-7	2017-02-23	2014-11-26		24
S0165-7836(15)00061-2	2017-06-21	2015-03-24		24
S0165-7836(16)30006-6	2018-04-25	2016-01-23	2016-04-25	24
S0165-7836(16)30028-5	2018-02-19	2016-02-20	2016-02-20	24
S0165-9936(12)00191-4	2014-10-14	2012-07-16		24
S0165-9936(15)30122-9	2018-05-20	2016-02-20		24
S0166-0462(11)00070-6	2014-08-30	2011-06-02		36
S0166-0462(11)00145-1	2015-04-01	2012-01-02		36
S0166-0462(12)00046-4	2015-09-24	2012-06-26		36
S0166-0934(09)00519-9	2011-03-11	2009-12-11		12
S0166-0934(10)00158-8	2011-08-02	2010-05-04		12
S0166-0934(10)00350-2	2011-12-31	2010-10-02		12
S0166-0934(13)00244-9	2014-10-03	2013-07-05		12
S0166-0934(13)00303-0	2014-10-28	2013-07-30		12
S0166-0934(14)00238-9	2015-09-19	2014-06-21		12
S0166-0934(15)00018-X	2016-05-10	2015-02-10		12
S0166-0934(15)00302-X	2016-09-09	2015-09-01	2015-09-10	12
S0166-1280(10)00279-4	2012-07-16	2010-04-18		24
S0166-3542(12)00036-8	2013-05-11	2012-02-11		12
S0166-3542(15)00136-9	2016-06-26	2015-06-12	2015-06-27	12
S0166-3615(12)00195-9	2015-03-27	2012-12-27		24
S0166-4328(10)00130-0	2011-11-20	2010-02-21		18
S0166-4328(10)00158-0	2011-11-28	2010-03-01		18
S0166-4328(10)00517-6	2012-04-19	2010-07-22		18
S0166-4328(10)00572-3	2012-05-17	2010-08-19		18
S0166-4328(10)00582-6	2012-05-22	2010-08-24		18
S0166-4328(10)00595-4	2012-06-07	2010-09-09		18
S0166-4328(10)00684-4	2012-07-21	2010-10-23		18
S0166-4328(10)00694-7	2012-07-21	2010-10-23		18
S0166-4328(10)00812-0	2012-09-11	2010-12-14		18
S0166-4328(11)00046-5	2012-10-17	2011-01-19		18
S0166-4328(11)00234-8	2012-12-21	2011-03-25		18
S0166-4328(11)00709-1	2013-06-29	2011-10-01		18
S0166-4328(11)00718-2	2013-07-06	2011-10-08		18
S0166-4328(11)00757-1	2013-07-19	2011-10-21		18
S0166-4328(11)00820-5	2013-08-26	2011-11-28		18
S0166-4328(12)00053-8	2013-10-19	2012-01-21		18
S0166-4328(12)00139-8	2013-11-23	2012-02-25		18
S0166-4328(12)00258-6	2014-01-08	2012-04-11		18
S0166-4328(12)00295-1	2014-01-22	2012-04-25		18
S0166-4328(12)00504-9	2014-05-08	2012-08-09		18
S0166-4328(12)00617-1	2014-06-23	2012-09-24		18
S0166-4328(12)00676-6	2014-07-23	2012-10-24		18
S0166-4328(13)00023-5	2014-10-16	2013-01-17		18
S0166-4328(13)00106-X	2014-12-11	2013-03-14		18
S0166-4328(13)00687-6	2015-08-13	2013-11-14		18
S0166-4328(14)00195-8	2015-12-28	2014-03-31		18
S0166-4328(14)00542-7	2016-05-18	2014-08-20		18
S0166-4328(14)00584-1	2016-06-04	2014-09-06		18
S0166-4328(14)00773-6	2016-08-27	2014-11-29		18
S0166-4328(15)00256-9	2016-11-12	2015-04-20	2015-05-15	18
S0166-4328(15)00350-2	2016-12-03	2015-05-22	2015-06-05	18
S0166-4328(15)30056-5	2016-12-31	2015-06-22	2015-07-03	18
S0166-4328(15)30300-4	2017-06-08	2015-11-24	2015-12-09	18
S0166-4328(16)30197-8	2017-10-10	2016-04-06	2016-04-11	18
S0166-445X(10)00092-5	2012-06-13	2010-03-16		24
S0166-445X(10)00350-4	2012-12-01	2010-09-03		24
S0166-445X(10)00458-3	2013-03-12	2010-12-13		24
S0166-445X(11)00195-0	2013-10-05	2011-07-08		24
S0166-445X(12)00020-3	2014-04-15	2012-01-16		24
S0166-445X(12)00092-6	2014-06-06	2012-03-08		24
S0166-445X(12)00216-0	2014-11-02	2012-08-04		24
S0166-445X(12)00326-8	2015-03-21	2012-12-21		24
S0166-445X(13)00004-0	2015-04-19	2013-01-19		24
S0166-445X(13)00020-9	2015-04-25	2013-01-25		24
S0166-445X(14)00133-7	2016-07-13	2014-04-15		24
S0166-445X(14)00273-2	2016-11-24	2014-08-27		24
S0166-445X(14)00358-0	2017-03-03	2014-12-04		24
S0166-445X(14)00359-2	2017-03-02	2014-12-03		24
S0166-445X(15)30052-7	2017-10-05	2015-09-26	2015-10-06	24
S0166-445X(16)30012-1	2018-02-10	2016-01-28	2016-02-11	24
S0166-6851(10)00051-4	2011-06-08	2010-03-10		12
S0166-6851(10)00284-7	2012-02-10	2010-11-12		12
S0166-8641(09)00392-7	2011-11-24	2009-08-26		24
S0166-8641(09)00515-X	2012-03-21	2009-12-22		24
S0166-8641(10)00040-4	2012-05-11	2010-02-11		24
S0166-8641(10)00268-3	2012-12-13	2010-09-15		24
S0166-8641(11)00109-X	2013-07-11	2011-04-13		24
S0166-8641(11)00233-1	2013-09-28	2011-07-01		24
S0166-8641(12)00033-8	2014-04-10	2012-01-11		24
S0166-8641(12)00179-4	2014-07-20	2012-04-21		24
S0166-8641(13)00247-2	2015-10-31	2013-08-02		24
S0166-8641(14)00095-9	2016-06-09	2014-03-12		24
S0166-8641(14)00114-X	2016-06-24	2014-03-27		24
S0166-8641(14)00115-1	2016-06-24	2014-03-27		24
S0166-8641(14)00120-5	2016-07-09	2014-04-11		24
S0166-8641(14)00208-9	2016-08-10	2014-05-13		24
S0166-8641(14)00345-9	2016-12-02	2014-09-04		24
S0166-8641(14)00345-9	2016-12-02	2014-09-04		24
S0167-0115(12)00160-7	2013-08-12	2012-05-14		12
S0167-0115(13)00050-5	2014-06-14	2013-03-16		12
S0167-0115(14)00023-8	2015-06-09	2014-03-11		12
S0167-0115(14)00023-8	2015-06-09	2014-03-11		12
S0167-1987(09)00230-X	2012-04-11	2010-01-12		24
S0167-1987(10)00114-5	2012-11-01	2010-08-04		24
S0167-1987(13)00044-5	2015-06-17	2013-03-19		24
S0167-1987(15)00040-9	2017-05-11	2015-02-11		24
S0167-1987(16)30025-3	2018-03-11	2016-03-11	2016-03-11	24
S0167-2738(09)00421-4	2012-05-05	2010-02-05		24
S0167-2738(10)00098-6	2012-06-17	2010-03-20		24
