Authors	Year	Title	Journal Name	Vol	Issue	Pages	Reference Type	Research notes	doi 	IFAS Unit
"Farooque, A., Zaman, Q. U., Nguyen-Quang, T., Groulx, D., Schumann, A. W. and Chang, Y. K."	2016	Development of a Predictive Model for Wild Blueberry Harvester Fruit Losses during Harvesting Using Artificial Neural Network	Transactions ASABE	32	6	doi: 10.13031/aea.32.10872	Journal Article		10.13031/aea.32.10872	Citrus REC
"Farooque, A. A., Zaman, Q. U., Chang, Y. K., Corscadden, K. W., Schumann, A. W., Chattha, H. S., Madani, A. and Abbas, A."	2016	Influence of soil properties and topographic features on wild blueberry fruit yield	Applied Engineering in Agriculture	32	4	379-388	Journal Article		10.13031/aea.32.11137	Citrus REC
"Farooque, A. A., Zaman, Q. U., Groulx, D., Schumann, A. W. and Nguyen-Quang, T."	2016	Response of wild blueberry fruit loss to spatial variability in crop characteristics and slope of the field	Applied Engineering in Agriculture	32	4	493-504	Journal Article		10.13031/aea.32.11352	Citrus REC
"Farrior, C., Bohlman, S., Hubbell, S. and Pacala, S."	2016	Dominance of the suppressed: Power-law size structure in tropical forests	Science	351	6269	155-157	Journal Article		10.1126/science.aad0592	
"Fassbinder-Orth, C. A., Wilcoxen, T. E., Tran, T., Boughton, R. K., Fair, J. M., Hofmeister, E. K., Grindstaff, J. L. and Owen, J. C."	2016	Immunoglobulin detection in wild birds: effectiveness of three secondary anti-avian IgY antibodies in direct ELISAs in 41 avian species	Methods in Ecology and Evolution	7	10	1174-1181	Journal Article		10.1111/2041-210x.12583	
"Fayette, J., Hendricks, K. E., Ozores-Hampton, M., Di Gioia, F. and Roberts, P. D."	2016	First Report of Powdery Mildew Caused by Oidiopsis haplophylli on Garden Nasturtium (Tropaeolum majus L.) in Florida	Plant Disease	100	3	646-647	Journal Article		10.1094/pdis-06-15-0697-pdn	
"Fayette, J., Raid, R., Roberts, P., D.  Jones, J., B.  Pernezny, K. B., Carolee T. and Goss, E. M."	2016	Multilocus Sequence Typing of Strains of Bacterial Spot of Lettuce Collected in the United States	Phytopathology	106	11	1262-1269	Journal Article			Everglades REC
"Fayette, J., Roberts, P. D., Jones, J. B., Pernezny, K. L. and Raid, R. L."	2016	Organic compounds increase the efficacy of famoxadone plus cymoxanil in the control of bacterial leaf spot of lettuce	Crop Protection	89		47-50	Journal Article		10.1016/j.cropro.2016.06.015	
"Felderhoff, T., M Mcintyre, L., Saballos, A. and Vermerris, W."	2016	Using Genotyping by Sequencing to Map Two Novel Anthracnose Resistance Loci in Sorghum bicolor	"G3 (Bethesda, Md.)"	6	7	1935-1946	Journal Article		10.1534/g3.116.030510	
"Feng, S., Reuss, L. and Wang, Y."	2016	Potential of Natural Products in the Inhibition of Adipogenesis through Regulation of PPAR? Expression and/or Its Transcriptional Activity	Molecules	21	10	19 p	Journal Article		10.3390/molecules21101278	Citrus REC
"Fennimore, S. A., Slaughter, D. C., Siemens, M. C., Leon, R. G. and Saber, M. N."	2016	Technology for Automation of Weed Control in Specialty Crops	Weed Technology	30	4	823-837	Journal Article			West FL REC
"Ferl, R. J. and Paul, A. L."	2016	The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit	Npj Microgravity	2		Article 15023	Journal Article		Artn 1502310.1038/Npjmgrav.2015.23	
"Ferraz, P. A., Burnley, C., Karanja, J., Viera-Neto, A., Santos, J. E. P., Chebel, R. C. and Galvao, K. N."	2016	Factors affecting the success of a large embryo transfer program in Holstein cattle in a commercial herd in the southeast region of the United States	Theriogenology	86	7	1834-1841	Journal Article		10.1016/j.theriogenology.2016.05.032	Animal Sci
"Ferreira, C. J. B., Tormena, C. A., Moreira, W. H., Zotarelli, L., Betioli Jr., E. and Anghinoni, G."	2016	The sampling position under no-tillage system affects the results of soil physical properties	R. Bras. Ciencia do Solo	40		Article e0150189	Journal Article		DOI: 10.1590/18069657rbcs20150189	
"Ferreira, F. C., Gennari, R. S., Dahl, G. E. and De Vries, A."	2016	Economic feasibility of cooling dry cows across the United States	J Dairy Sci	99	12	9931-9941	Journal Article		10.3168/jds.2016-11566	Animal Sci
"Ferreiro-Dominguez, N., Nair, V. D. and Freese, D."	2016	Phosphorous dynamics in poplar silvopastoral systems fertilised with sewage sludge	Agriculture Ecosystems & Environment	223		87-98	Journal Article	yes	10.1016/j.agee.2016.02.022	
"Fetouh, M. I., Kareem, A., Knox, G. W., Wilson, S. B. and Deng, Z. N."	2016	"Induction, Identification, and Characterization of Tetraploids in Japanese rivet (Ligustrum japonicum)"	Hortscience	51	11	1371-1377	Journal Article			Env Hort
"Filgueiras, C. C., Willett, D. S., Junior, A. M., Pareja, M., El Borai, F., Dickson, D. W., Stelinski, L. L. and Duncan, L. W."	2016	Stimulation of the salicylic acid pathway aboveground recruits entomopathogenic nematodes belowground.	Plos One	11	5	Article e0154712	Journal Article			Ent/Nem
"Filgueiras, C. C., Willett, D. S., Pereira, R. V., Moino Junior, A., Pareja, M. and Duncan, L. W."	2016	Eliciting maize defense pathways aboveground attracts belowground biocontrol agents	Scientific Reports	6		Article 36484	Journal Article		10.1038/srep36484	Citrus REC
"Fisch, N. C. and Pine, W. E., Iii"	2016	"A Complex Relationship between Freshwater Discharge and Oyster Fishery Catch Per Unit Effort in Apalachicola Bay, Florida: an Evaluation from 1960 to 2013"	Journal of Shellfish Research	35	4	809-825	Journal Article			
"Fishelvich, E., Vélez, A. M., Khajuria, C., Hamm, M. L., Wang, H., Schulenberg, G. A., Bowling, A. J., Pence, H. E., Gandra, P., Arora, K., Storer, N. P., Narva, K. E. and Siegfried, B. D."	2016	Use of chromatin remodeling ATPases as RNAi targets for parental control of western corn rootworm (Diabrotica virgifera virgifera) and neotropical brown stink bug (Euschistus heros).	Insect Biochem. Mol. Biol.	7		58-71	Journal Article		http://dx.doi.org/10.1016/j.ibmb.2016.02.004	Ent/Nem
"Fisher, P. R., Vallejo, J. C., Hodges, A. W. and Hall, C. R."	2016	Tracking losses in floriculture crop production	Acta Horticulturae	1132		161-166	Journal Article		 10.17660/ActaHortic.2016.1132.22	FRE
"Fishilivich, E., Vélez, A. M., Storer, N. P., Li, H., Bowling, A., Rangasamy, M., Worden, S., Narva, K. and Siegfried, B. D."	2016	"RNAi as a pest management tool for the western corn rootworm, Diabrotica virgifera virgifera."	Pest Manag. Sci.	72	9	1652-1663	Journal Article			Ent/Nem
"Fletcher, R. J. J., Burrell, N. S., Reichert, B. E., Vasudev, D. and Austin, J. D."	2016	Divergent perspectives of landscape connectivity reveal consistent effects from genes to communities	Current Landscape Ecology Reports	1		67-79	Journal Article		10.1007/s40823-016-0009-6	
"Fletcher, R. J. J., Mccleery, R. A., Greene, D. U. and Tye, C. A."	2016	Integrated models that unite local and regional data reveal larger-scale environmental relationships and improve predictions of species distributions	Landscape Ecology	31	6	1369-1382	Journal Article		10.1007/s10980-015-0327-9	
"Flint, M. and Than, J. T."	2016	Potential spawn induction and suppression agents in Caribbean Acropora cervicornis corals of the Florida Keys	Peerj	4		12	Journal Article		10.7717/peerj.1982	
"Folta, K. M. and Klee, H. J."	2016	Sensory sacrifices when we mass-produce mass produce	Horticulture Research	3		Article 16032	Journal Article		10.1038/hortres.2016.32  	
"Forcelini, B. B. G., Seijo, T. E., Amiri, A. P. and Peres, N. A."	2016	Resistance in strawberry isolates of Colletotrichum acutatum from Florida to Quinone-outside inhibitor fungicides	Plant Disease	100	10	2050-2056	Journal Article			
"Forcellini, B. B. G., Goncalves, F. P. and Peres, N. A."	2016	Effect of inoculum concentration and interrupted wetness duration on the development of anthracnose fruit rot of strawberry	Plant Disease	101	2	372-377	Journal Article		doi:http://dx.doi.org/10.1094/PDIS-08-16-1175-RE	
"Ford, A., Conover, K., Gal, N. and Dahl, W."	2015	Food and nutrition practices and education needs in U.S. adult care homes.	Journal of the National Extension Association of Family & Consumer Sciences	10		47-63	Journal Article	Cannot confirm citation		Food Sci & Nutr
"Francis, A. W., Stocks, I. C., Smith, T. R., Boughton, A. J., Mannion, C. M. and Osborne, L. S."	2016	Host plants and natural enemies of rugose spiraling whitefly (Hemiptera: Aleyrodidae) in Florida.	Florida Entomologist	99	1	150-153	Journal Article		10.1653/024.099.0134	
"Franssen, F., Swart, A., Van Der Giessen, J., Havelaar, A. and Takumi, K."	2016	Parasite to patient: A quantitative risk model for Trichinella spp. in pork and wild boar meat	Int J Food Microbiol	241	16	262-275	Journal Article		10.1016/j.ijfoodmicro.2016.10.029	Animal Sci
"Frederick, P. C., Vitale, N. E., Pine, W. E. I., Seavey, J. and Sturmer, L."	2016	"Reversing a rapid decline in oyster reefs: Effects of durable substrate on oyster populations, elevations, and aquatic bird community composition."	Journal of Shellfish Research	35	2	359-367	Journal Article			
"Freyre, R., Deng, Z. A., Knox, G. W., Montalvo, S. and Zayas, V."	2016	Fruitless Ruellia simplex R12-2-1 (Mayan Compact Purple)	Hortscience	51	8	1057-1061	Journal Article			Env Hort
"Fu, X., Liu, R., Sanchez, I., Silva-Sanchez, C., Hepowit, N. L., Cao, S. Y., Chen, S. X. and Maupin-Furlow, J."	2016	Ubiquitin-Like Proteasome System Represents a Eukaryotic-Like Pathway for Targeted Proteolysis in Archaea	Mbio	7	3	e00379-16	Journal Article		10.1128/mBio.00379-16	
"Fujisaki, I., Hart, K. M., Cherkiss, M. S., Mazzotti, F. J., Beauchamp, J. S., Jeffery, B. M. and Brandt, L. A."	2016	Spatial and temporal variability in estuary habitat use by American alligators	Estuaries and Coasts	39	5	1561-1569	Journal Article			Ft Lauderdale REC
"Fulcher, A., Karel, R. and Marble, S. C."	2016	Advantages and disadvantages of asynchronous online extension programming for delivering master producer content	HortTech	26	5	584-587	Journal Article			
"Fulcher, A., Lebude, A. V., Owens, J. S., White, S. A. and Beeson, R. C."	2016	The next ten years; Strategic vision of water resources for nursery and greenhouse producers	Horttechnology	26	2	121-132	Journal Article			
"Funderburk, J., Frantz, G., Mellinger, C., Tyler-Julian, K. and Srivastava, M."	2016	"Biotic resistance limits the invasiveness of the western flower thrips, Frankliniella occidentalis (Thysanoptera: Thripidae), in Florida"	Insect Science	23	2	175-182	Journal Article		10.1111/1744-7917.12250	
"Furió-Tarí, P., Conesa, A. and Tarazona, S."	2016	RGmatch: matching genomic regions to proximal genes in omics data integration	BMC Bioinformatics	17	15	Article 427	Journal Article		10.1186/s12859-016-1293-1	
"Furio-Tari, P., Tarazona, S., Gabaldon, T., Enright, A. J. and Conesa, A."	2016	spongeScan: A web for detecting microRNA binding elements in lncRNA sequences	Nucleic Acids Research	44	W1	W176-W180	Journal Article		10.1093/nar/gkw443	
"Gamliel, A. and Van Bruggen, A."	2016	Maintaining soil health for crop production in organic greenhouses	Scientia Horticulturae	208		120-130	Journal Article			
"Ganser, C., Gregory, A., Mcnew, L., Hunt, L., Sandercock, B. and Wisely, S."	2016	Fine-scale distribution modeling of avian malaria vectors in north-central Kansas	Journal of Vector Ecology	41	1	114-122	Journal Article		10.1111/jvec.12202	
"Gao, M. S., Nguyen, H., Gonzalez, S. S. and Teplltski, M."	2016	Regulation of fixLJ by Hfq Controls Symbiotically Important Genes in Sinorhizobium meliloti	Molecular Plant-Microbe Interactions	29	11	844-853	Journal Article	yes	10.1094/mpmi-09-16-0182-r	
"Gao, Z., House, L. and Bi, X."	2016	Impact of satisficing behavior in online surveys on consumer preference and welfare estimates	Food Policy	64		26-36	Journal Article			FRE
"Gao, Z., House, L. A. and Xie, J."	2016	Online survey data quality and its implication for willingness-to-pay: a cross-country comparison	Canadian Journal of Agricultural Economics	64	2	199-221	Journal Article			FRE
"Garcia, M., Greco, L. F., Block, E., Santos, J. E. F., Thatcher, W. W. and Staples, C. R."	2016	Programming effect of dietary fatty acids on performance of Holstein heifers from birth through first lactation	Animal Feed Science and Technology	222		64-74	Journal Article		10.1016/j.anifeedsci.2016.10.003	Animal Sci
"Garcia, M., Greco, L. F., Lock, A. L., Block, E., Santos, J. E. R., Thatcher, W. W. and Staples, C. R."	2016	Supplementation of essential fatty acids to Holstein calves during late uterine life and first month of life alters hepatic fatty acid profile and gene expression	Journal of Dairy Science	99	9	7085-7101	Journal Article		10.3168/jds.2015-10472	Animal Sci
"García-Avila, C. D., Trujillo-Arriaga, F. J., López-Buenfil, J. A., González-Gómez, R., Carrillo, D., Cruz, L. F., Ruiz-Galván, I., Quezada-Salinas, A. and Acevedo-Reyes, N."	2016	First Report of Euwallacea nr. fornicatus (Coleoptera: Curculionidae) in Mexico	Florida Entomologist	99	3	555-556	Journal Article		http://dx.doi.org/10.1653/024.099.0335	
"Gardner, C. L., Pagliai, F. A., Pan, L., Bojilova, L., Torino, M. I., Lorca, G. L. and Gonzalez, C. F."	2016	"Drug Repurposing: Tolfenamic Acid Inactivates PrbP, a Transcriptional Accessory Protein in Liberibacter asiaticus"	Frontiers in Microbiology	7		Article 1630	Journal Article		10.3389/fmicb.2016.01630	
"Garrick, T. A., Liburd, O. E. and Funderburk, J."	2016	Effect of humidity on fecundity and egg incubation of Frankliniella bispinosa and Frankliniella occidentalis (Thysanoptera: Thripidae).	Florida Entomologist	99	3	505-508	Journal Article	yes		Ent/Nem
"Geary, T. W., Burns, G. W., Moraes, J. G., Moss, J. I., Denicol, A. C., Dobbs, K. B., Ortega, M. S., Hansen, P. J., Wehrman, M. E., Neibergs, H., O'neil, E., Behura, S. and Spencer, T. E."	2016	Identification of Beef Heifers with Superior Uterine Capacity for Pregnancy	Biology of Reproduction	95	2	"47, 1-12"	Journal Article		10.1095/biolreprod.116.141390	Animal Sci
"Genna, N. G. and Perez, H. E."	2016	Mass-based germination dynamics of Rudbeckia mollis (Asteraceae) seeds following thermal and ageing stress	Seed Science Research	26	3	231-244	Journal Article		10.1017/s0960258516000180	Env Hort
"George, A. S., Gonzalez, I. S., Lorca, G. L. and Teplitski, M."	2016	Contribution of the Salmonella enterica KdgR Regulon to Persistence of the Pathogen in Vegetable Soft Rots	Applied and Environmental Microbiology	82	4	1353-1360	Journal Article		10.1128/aem.03355-15	
"George, J., Robbins, P. S., Alessandro, R. T., Stelinski, L. L. and Lapointe, S. L."	2016	Formic and Acetic Acids in Degradation Products of Plant Volatiles Elicit Olfactory and Behavioral Responses from an Insect Vector	Chemical Senses	41	4	325-338	Journal Article		10.1093/chemse/bjw005	Citrus REC
"George, M., Hotchkiss, R. and Huffaker, R."	2016	Reservoir sustainability and sediment management	Journal of Water Resources Planning and Managment	In press		doi: 10.1061/ (ASCE)WR.1943-5452.0000720	Journal Article		10.1061/ (ASCE)WR.1943-5452.0000720	ABE
"Gervasi, S. S., Burkett-Cadena, N., Burgan, S. C., Schrey, A. W., Hassan, H. K., Unnasch, T. R. and Martin, L. B."	2016	"Host stress hormones alter vector feeding preferences, success, and productivity"	Proceedings of the Royal Society B-Biological Sciences	283	1836	7	Journal Article		10.1098/rspb.2016.1278	FMEL
"Gillen, M. and Heath, C."	2016	Effects of receipt of Social Security retirement benefits on older women's employment	Journal of Women and Aging			1-12	Journal Article		10.1080/08952841.2016.1214035	
"Gillen, M., Spence, L., Douglas, D. and Williams, B."	2016	An Evaluation of Women and Money: Unique Issues	The Forum for Family and Consumer Issue	20	2		Journal Article			FYCS
"Gillett, A. K., Ploeg, R., O'donoghue, P. J., Chapman, P. A., Webb, R. I., Flint, M. and Mills, P. C."	2016	Ultrastructural and Molecular Characterisation of an Heterosporis-Like Microsporidian in Australian Sea Snakes (Hydrophiinae)	PloS one	11	3	e0150724-e0150724	Journal Article		10.1371/journal.pone.0150724	
"Gillooly, J. F., Gomez, J. P., Mavrodiev, E. V., Rong, Y. and Mclamore, E. S."	2016	Body mass scaling of passive oxygen diffusion in endotherms and ectotherms	Proceedings of the National Academy of Sciences of the United States of America	113	19	5340-5345	Journal Article		10.1073/pnas.1519617113	ABE
"Ginn, A., Ma, Z., Galvao, K. N. and Jeong, K. C."	2016	Draft Genome Sequence of an Escherichia coli O8:H19 Sequence Type 708 Strain Isolated from a Holstein Dairy Cow with Metritis	Genome Announc	4	2	e00261-16	Journal Article		10.1128/genomeA.00261-16	Animal Sci
"Giuliano, W. M., Watine, L. N., Olson, J. M., Blake, M. and Ober, H."	2016	Florida Turkey Nest Site Selection and Success	Natural Resources	7	11	644-654	Journal Article		10.4236/nr.2016.711051	
"Gloria-Soria, A., Ayala, D., Bheecarry, A., Calderon-Arguedas, O., Chadee, D. D., Chiappero, M., Coetzee, M., Bin Elahee, K., Fernandez-Salas, I., Kamal, H. A., Kamgang, B., Khater, E. I. M., Kramer, L. D., Kramer, V., Lopez-Solis, A., Lutomiah, J., Martins, A., Micieli, M. V., Paupy, C., Ponlawat, A., Rahola, N., Rasheed, S. B., Richardson, J. B., Saleh, A. A., Sanchez-Casas, R. M., Seixas, G., Sousa, C. A., Tabachnick, W. J., Troyo, A. and Powell, J. R."	2016	Global genetic diversity of Aedes aegypti	Molecular Ecology	25	21	5377-5395	Journal Article		10.1111/mec.13866	FMEL
"Gochez, A. M., Shantharaj, D., Potnis, N., Zhou, X., Minsavage, G. V., White, F. F., Wang, N., Hurlbert, J. C. and Jones, J. B."	2017	Molecular characterization of XopAG effector AvrGf2 from Xanthomonas fuscans ssp. aurantifolii in grapefruit	Molecular plant pathology	18	3	405-419	Journal Article		10.1111/mpp.12408	
"Gomes De Miranda E Silva, N., Dos Santos, M. V. F., Dubeux Junior, J. C. B., Cunha, M. V. D., Lira, M. D. A. and Ferraz, I."	2016	Effects of planting density and organic fertilization doses on productive efficiency of cactus pear	Revista Caatinga	29	4	976-983	Journal Article			
"Gomes, V. S. D. M., Vecchi, M. B., Loiselle, B. A., Missagia,C. C. C., Alves, M. A. S. "	2016	Heterogeneity of bird communities in a mosaic of habitats on a restinga ecosystem in southeast Brazil.	Zoologia	33		e20150205	Journal Article		10.1590/S1984-4689zool-20150205	
"Goncalves, E. C., Koh, J., Zhu, N., Yoo, M. J., Chen, S., Matsuo, T., Johnson, J. V. and Rathinasabapathi, B."	2016	"Nitrogen starvation-induced accumulation of triacylglycerol in the green algae: evidence for a role for ROC40, a transcription factor involved in circadian rhythm"	Plant J	85	6	743-757	Journal Article		10.1111/tpj.13144	
"Goncalves, E. C., Wilkie, A. C., Kirst, M. and Rathinasabapathi, B."	2016	Metabolic regulation of triacylglycerol accumulation in the green algae: identification of potential targets for engineering to improve oil yield	Plant Biotechnology Journal	14	8	1649-1660	Journal Article		10.1111/pbi.12523	
"Gonzalez, O., And Loiselle, B. A."	2016	Species interactions in an Andean bird-flowering plant network: phenology is more important than abundance or morphology.	PeerJ	4		e2789	Journal Article		10.7717/peerj.2789	
"Gonzalez-Benecke, C., Teskey, R., Martin, T., Jokela, E., Fox, T., Kane, M. and Noormets, A."	2016	Regional validation and improved parameterization of the 3-PG model for Pinus taeda stands	Forest Ecology and Management	361		237-256	Journal Article		10.1016/j.foreco.2015.11.025	SFRC
"González-Cabrera, J., Rodríguez-Vargas, S., Davies, T. G. E., Field, L. M., Schmehl, D., Ellis, J. D., Krieger, K. and Williamson, M. S."	2016	Novel mutations in the voltage-gated sodium channel of pyrethroid-resistant Varroa destructor populations from the Southeastern USA.	PLoS ONE	11	5	Article e0155332	Journal Article			Ent/Nem
"Gordon, D. R., Flory, S. L., Lieurance, D., Hulme, P. E., Buddenhagen, C., Caton, B., Champion, P. D., Culley, T. M., Daehler, C., Essl, F., Hill, J. E., Keller, R. P., Kohl, L., Koop, A. L., Kumschick, S., Lodge, D. M., Mack, R. N., Meyerson, L. A., Pallipparambil, G. R., Panetta, F. D., Porter, R., Pysek, P., Quinn, L. D., Richardson, D. M., Simberloff, D. and Vila, M."	2016	Weed Risk Assessments Are an Effective Component of Invasion Risk Management	Invasive Plant Science and Management	9	1	81-83	Journal Article		10.1614/ipsm-d-15-00053.1	Agronomy
"Gordon, V. S., Comstock, J. C., Sandhu, H. S., Gilbert, R. A., Sood, S., Korndorfer, P., El-Hout, N. and Arundale, R."	2016	Registration of 'UFCP 84-1047' Sugarcane for Use as a Biofuel Feedstock	Journal of Plant Registrations	10	3	251-257	Journal Article		10.3198/jpr2015.03.0021crc	Everglades REC
"Gordon, V. S., Comstock, J. C., Sandhu, H. S., Gilbert, R. A., Sood, S. G., Korndorfer, P., El-Hout, N. and Arundale, R."	2016	Registration of 'UFCP 87-0053' Sugarcane for Use as a Biofuel Feedstock	Journal of Plant Registrations	10	3	258-264	Journal Article		10.3198/jpr2015.03.0022crc	Everglades REC
"Gorham, L. M., Qu, S., Telg, R. and Lamm, A. J."	2016	Testing the usability of communication materials through heat maps in online survey platforms	Journal of Applied Communications	100	3	12-20	Journal Article			Ag Ed
"Gorham, L. M., Rumble, J. N., Pounds, K. L., Lindsey, A. B. and Irani, T."	2016	The role of dissonance and schema: an exploration of Florida public perception after the DWH oil spill	Journal of Applied Communications	100	2	119-134	Journal Article			Ag Ed
"Grade, A. M. and Sieving, K. E."	2016	When the birds go unheard: Highway noise disrupts information transfer between bird species	Biology Letters	12		doi: 10.1098/rsbl.2016.0113	Journal Article		10.1098/rsbl.2016.0113	
"Graham, J. H., Gerberich, K. M. and Davis, C. L."	2016	Injection-Infiltration of Attached Grapefruit with Xanthomonas citri subsp.citri to Evaluate Seasonal Population Dynamics in Citrus Canker Lesions	Journal of Phytopathology	164	7-8	528-533	Journal Article		10.1111/jph.12478	Citrus REC
"Graham, J. H., Johnson, E. G., Myers, M. E., Young, M., Rajasekaran, P., Das, S. and Santra, S."	2016	Potential of Nano-Formulated Zinc Oxide for Control of Citrus Canker on Grapefruit Trees	Plant Disease	100	12	2442-2447	Journal Article		10.1094/PDIS-05-16-0598-RE	Citrus REC
"Graham, J. H. and Myers, M. E."	2016	Evaluation of soil applied systemic acquired resistance inducers integrated with copper bactericide sprays for control of citrus canker on bearing grapefruit trees	Crop Protection	90		157-162	Journal Article		10.1016/j.cropro.2016.09.002	Citrus REC
"Granato, L. M., Picchi, S. C., Andrade, M. D. O., Takita, M. A., De Souza, A. A., Wang, N. and Machado, M. A."	2016	The ATP-dependent RNA helicase HrpB plays an important role in motility and biofilm formation in Xanthomonas citri subsp. citri	BMC Microbiology	16		doi: 10.1186/s12866-016-0655-1	Journal Article		10.1186/s12866-016-0655-1	Citrus REC
"Graves, S., Asner, G., Martin, R., Anderson, C., Colgan, M., Kalantari, L. and Bohlman, S."	2016	Tree Species Abundance Predictions in a Tropical Agricultural Landscape with a Supervised Classification Model and Imbalanced Data	Remote Sensing	8	2	doi: 10.3390/rs8020161	Journal Article		10.3390/rs8020161	
"Gray, D. J., Li, Z. T., Grant, T. N. L., Dean, D. A., Trigiano, R. N. and Dhekney, S. A."	2016	The Application of Precision Breeding (PB) for Crop Improvement is Fully Consistent with the Plant Life Cycle: The Utility of PB for Grapevine	ACTA Hort.	1115		46-56	Journal Article			
"Greene, D. U., Mccleery, R. A., Wagner, L. Garrison, E."	2016	A Comparison of Four Survey Methods for Detecting Fox Squirrels in the Southeastern United States.	Journal of Fish and Wildlife Management	7		99-106	Journal Article		http://dx.doi.org/10.3996/082015-NAF-013	
"Greene, D. U. and Mccleery, R. A."	2016	Recent observation of a fox squirrel (Sciurus niger) in a coastal salt marsh.	Florida Field Naturalist	44		106-109	Journal Article			
"Gregory, J., Deratt, B., Rios-Avila, L., Ralat, M. and Stacpoole, P."	2016	Vitamin B6 nutritional status and cellular availability of pyridoxal 5'-phosphate govern the function of the transsulfuration pathway's canonical reactions and hydrogen sulfide production via side reactions	Biochimie	126		21-6	Journal Article		10.1016/j.biochi.2015.12.020	Food Sci & Nutr
"Gress, J., Da Silva, E. B., De Oliveira, L. M., Zhao, D., Anderson, G., Heard, D., Stuchal, L. D. and Ma, L. Q."	2016	Potential arsenic exposures in 25 species of zoo animals living in CCA-wood enclosures	Science of the Total Environment	551		614-621	Journal Article	yes	10.1016/j.scitotenv.2016.02.065	
"Grupe, A., Vasco-Palacios, A. M., Smith, M. E., Boekhout, T. and Henkel, T. W."	2016	Sarcodon in the Neotropics II: four new species from Colombia and a key to the regional species	Mycologia	108	4	791-805	Journal Article		10.3852/15-254	
"Guan, D. X., Williams, P. N., Xu, H. C., Li, G., Luo, J. and Ma, L. Q."	2016	"High-resolution measurement and mapping of tungstate in waters, soils and sediments using the low-disturbance DGT sampling technique"	Journal of Hazardous Materials	316		69-76	Journal Article	yes	10.1016/j.jhazmat.2016.05.026	
"Gubicza, K., Nieves, I. U., Sagues, W. J., Barta, Z., Shanmugam, K. T. and Ingram, L. O."	2016	Techno-economic analysis of ethanol production from sugarcane bagasse using a Liquefaction plus Simultaneous Saccharification and co-Fermentation process	Bioresource Technology	208		42-48	Journal Article		10.1016/j.biortech.2016.01.093	
"Guo, J.-R., Monteiro, A., Weng, X.-S., Ahmed, B., Laporta, J., Hayen, M., Dahl, G., Bernard, J. and Tao, S."	2016	Short communication: Effect of maternal heat stress in late gestation on blood hormones and metabolites of newborn calves	Journal of dairy science	99	8	6804-6807	Journal Article		http://dx.doi.org/10.3168/jds.2016-11088	Animal Sci
"Gutter, M. S."	2016	A Case Study of Extension in Florida	Family and Consumer Sciences Research Journal	44	3	245-254	Journal Article			FYCS
"Guy, C. L. and Odeh, R."	2016	The Healing Power of Plants	Southern Nursery Association Research Conference	61		36-39	Conference Proceedings			Custom 8
"Ha, J., Doguer, C. and Collins, J."	2016	Knockdown of copper-transporting ATPase 1 (Atp7a) impairs iron flux in fully-differentiated rat (IEC-6) and human (Caco-2) intestinal epithelial cells	Metallomics	8	9	963-972	Journal Article		10.1039/c6mt00126b	Food Sci & Nutr
"Ha, J., Doguer, C., Wang, X., Flores, S. and Collins, J."	2016	High-Iron Consumption Impairs Growth and Causes Copper-Deficiency Anemia in Weanling Sprague-Dawley Rats	Plos One	11	8	0161033	Journal Article		10.1371/journal.pone.0161033	Food Sci & Nutr
"Hacisalihoglu, G., Gustin, J., Louisma, J., Armstrong, P., Peter, G., Walker, A. and Settles, A."	2016	Enhanced Single Seed Trait Predictions in Soybean (Glycine max) and Robust Calibration Model Transfer with Near-Infrared Reflectance Spectroscopy	Journal of Agricultural and Food Chemistry	64	5	1079-1086	Journal Article		10.1021/acs.jafc.5b05508	
"Hagan, F. L., Koeser, A. K. and Dawson, J. O."	2016	"Growth changes of eighteen herbaceous angiosperms induced by Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX) in soil"	International Journal of Phytoremediation	18	1	94-102	Journal Article		10.1080/15226514.2015.1073665	
"Hald, T., Angulo, F., Bin Hamzah, W. M., Bellinger, D., Black, R., De Silva, N., Dopfer, D., Havelaar, A., Gibb, H., Kasuga, F., Lake, R., Rokni, M. B., Speybroeck, N., Aspinall, W., Cooke, R., Hoffmann, S., Devleesschauwer, B. and Pires, S. M."	2016	Research Synthesis Methods in an Age of Globalized Risks: Lessons from the Global Burden of Foodborne Disease Expert Elicitation	Risk Analysis	36	2	191-202	Journal Article		10.1111/risa.12385	Animal Sci
"Hald, T., Aspinall, W., Devleesschauwer, B., Cooke, R., Corrigan, T., Havelaar, A. H., Gibb, H. J., Torgerson, P. R., Kirk, M. D., Angulo, F. J., Lake, R. J., Speybroeck, N. and Hoffmann, S."	2016	World Health Organization Estimates of the Relative Contributions of Food to the Burden of Disease Due to Selected Foodborne Hazards: A Structured Expert Elicitation	PLoS One	11	1	e0145839	Journal Article		10.1371/journal.pone.0145839	Animal Sci
"Hall, D. G., Albrecht, U. and Bowman, K. D."	2016	Transmission Rates of 'Ca. Liberibacter asiaticus' by Asian Citrus Psyllid Are Enhanced by the Presence and Developmental Stage of Citrus Flush	Journal of Economic Entomology	109	2	558-563	Journal Article		10.1093/jee/tow009	
"Hamido, S. A., Guertal, E. A. and Wood, C. W."	2016	Seasonal Variation of Carbon and Nitrogen Emissions from Turfgrass	American Journal of Climate Change	5		448-463	Journal Article		10.4236/ajcc.2016.54033	West FL REC
